Kategori;Merek;Tahun;Mesin;Tenaga (BHP);Torsi (lb⋅ft);Berat (lbs);Source URL,,
Retro Sports Cars;Nissan;2000s;2.0L to 2.9L Displacement, Twin-Turbocharged;300 to 399 bhp;200 to 299 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/Nissan_Skyline_GT-R_V-Spec_II,
Retro Sports Cars;Mazda;1990s;1.0L to 1.9L Displacement, Turbocharged;200 to 299 bhp;100 to 199 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/Mazda_Savanna_RX-7,
Retro Sports Cars;Mazda;1990s;1.0L to 1.9L Displacement, Twin-Turbocharged;200 to 299 bhp;200 to 299 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/Mazda_RX-7,
Retro Sports Cars;Toyota;1980s;1.0L to 1.9L Displacement;100 to 199 bhp;100 to 199 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/Toyota_MR2_SC,,
Retro Sports Cars;Forsberg;1970s;2.0L to 2.9L Displacement, Turbocharged;400 to 499 bhp;300 to 399 lb⋅ft;2000 to 2499 lbs;https://forza.fandom.com/wiki/Forsberg_Racing_Nissan_%27Gold_Leader%27_Datsun_280Z,
Retro Sports Cars;Nissan;1990s;2.0L to 2.9L Displacement, Twin-Turbocharged;200 to 299 bhp;200 to 299 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/Nissan_Skyline_GT-R_V-Spec_(1997),
Retro Sports Cars;Toyota;1990s;2.0L to 2.9L Displacement, Turbocharged;200 to 299 bhp;200 to 299 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/Toyota_Soarer_2.5_GT-T,
Retro Sports Cars;Honda;2000s;3.0L to 3.9L Displacement;200 to 299 bhp;200 to 299 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/Honda_NSX-R_(2005),,
Retro Sports Cars;Lotus;1990s;1.0L to 1.9L Displacement;100 to 199 bhp;100 to 199 lb⋅ft;1000 to 1499 lbs;https://forza.fandom.com/wiki/Lotus_Elise_Series_1_Sport_190,,
Retro Sports Cars;DeLorean;1980s;2.0L to 2.9L Displacement;100 to 199 bhp;100 to 199 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/DeLorean_DMC-12,,
Retro Sports Cars;Porsche;1980s;2.0L to 2.9L Displacement, Turbocharged;200 to 299 bhp;200 to 299 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/Porsche_944_Turbo,
Retro Sports Cars;Nissan;2000s;2.0L to 2.9L Displacement, Turbocharged;200 to 299 bhp;200 to 299 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/Nissan_Silvia_Spec-R,
Retro Sports Cars;Nissan;2000s;3.0L to 3.9L Displacement;200 to 299 bhp;200 to 299 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/Nissan_Fairlady_Z,,
Retro Sports Cars;TVR;2000s;4.0L to 4.9L Displacement;400 to 499 bhp;300 to 399 lb⋅ft;2000 to 2499 lbs;https://forza.fandom.com/wiki/TVR_Sagaris,,
Retro Sports Cars;Lexus;1990s;3.0L to 3.9L Displacement;200 to 299 bhp;200 to 299 lb⋅ft;3500 to 3999 lbs;https://forza.fandom.com/wiki/Lexus_SC300,,
Retro Sports Cars;SUBARU;1990s;3.0L to 3.9L Displacement;200 to 299 bhp;200 to 299 lb⋅ft;3500 to 3999 lbs;https://forza.fandom.com/wiki/SUBARU_SVX,,
Retro Sports Cars;Mazda;1990s;1.0L to 1.9L Displacement;100 to 199 bhp;100 to 199 lb⋅ft;2000 to 2499 lbs;https://forza.fandom.com/wiki/Mazda_MX-5_Miata_(1994),,
Retro Sports Cars;Toyota;1990s;2.0L to 2.9L Displacement, Twin-Turbocharged;200 to 299 bhp;200 to 299 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/Toyota_Supra_2.0_GT,
Retro Sports Cars;BMW;1990s;5.0L to 5.9L Displacement;300 to 399 bhp;400 to 499 lb⋅ft;4000 to 4499 lbs;https://forza.fandom.com/wiki/BMW_850CSi,,
Retro Sports Cars;Mitsubishi;1980s;2.0L to 2.9L Displacement, Turbocharged;100 to 199 bhp;200 to 299 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/Mitsubishi_Starion_ESI-R,
Retro Sports Cars;Nissan;1990s;2.0L to 2.9L Displacement, Turbocharged;200 to 299 bhp;200 to 299 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/Nissan_Silvia_K%27s,
Retro Sports Cars;Mazda;2000s;1.0L to 1.9L Displacement, Turbocharged;100 to 199 bhp;100 to 199 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/Mazda_Mazdaspeed_MX-5,
Retro Sports Cars;BMW;2000s;3.0L to 3.9L Displacement;300 to 399 bhp;200 to 299 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/BMW_Z3_M_Coupe,,
Retro Sports Cars;Nissan;1990s;2.0L to 2.9L Displacement, Twin-Turbocharged;300 to 399 bhp;200 to 299 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/Nissan_NISMO_GT-R_LM,
Retro Super Cars;Ferrari;1990s;3.0L to 3.9L Displacement, V8;300 to 399 bhp;200 to 299 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/Ferrari_F355_Berlinetta,
Retro Super Cars;Mercedes-Benz;1990s;6.0L to 6.9L Displacement;600 to 699 bhp;500 to 599 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/Mercedes-Benz_AMG_CLK_GTR,,
Retro Super Cars;Ferrari;1990s;4.0L to 4.9L Displacement;400 to 499 bhp;300 to 399 lb⋅ft;3500 to 3999 lbs;https://forza.fandom.com/wiki/Ferrari_512_TR,,
Retro Super Cars;Porsche;1980s;2.0L to 2.9L Displacement, Twin-Turbocharged;400 to 499 bhp;300 to 399 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/Porsche_959,
Retro Super Cars;Jaguar;1990s;6.0L to 6.9L Displacement;400 to 499 bhp;400 to 499 lb⋅ft;2000 to 2499 lbs;https://forza.fandom.com/wiki/Jaguar_Sport_XJR-15,,
Retro Super Cars;McLaren;1990s;6.0L to 6.9L Displacement;600 to 699 bhp;400 to 499 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/McLaren_F1,,
Retro Super Cars;Saleen;2000s;7.0L to 7.9L Displacement, V8;500 to 599 bhp;500 to 599 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/Saleen_S7,
Retro Super Cars;Lotus;1980s;2.0L to 2.9L Displacement, Turbocharged;200 to 299 bhp;100 to 199 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/Lotus_Esprit_Turbo,
Retro Super Cars;Schuppan;1990s;3.0L to 3.9L Displacement, Twin-Turbocharged;600 to 699 bhp;400 to 499 lb⋅ft;2000 to 2499 lbs;https://forza.fandom.com/wiki/Schuppan_962CR,
Retro Super Cars;Ferrari;2000s;5.0L to 5.9L Displacement;500 to 599 bhp;400 to 499 lb⋅ft;3500 to 3999 lbs;https://forza.fandom.com/wiki/Ferrari_575M_Maranello,,
Retro Super Cars;Lotus;2000s;3.0L to 3.9L Displacement, Twin-Turbocharged, V8;300 to 399 bhp;200 to 299 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/Lotus_Esprit_V8
Retro Super Cars;Porsche;2000s;5.0L to 5.9L Displacement;600 to 699 bhp;400 to 499 lb⋅ft;3500 to 3999 lbs;https://forza.fandom.com/wiki/Porsche_Carrera_GT,,
Retro Super Cars;Ferrari;2000s;3.0L to 3.9L Displacement, V8;400 to 499 bhp;200 to 299 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/Ferrari_360_Challenge_Stradale,
Retro Super Cars;Lamborghini;1970s;3.0L to 3.9L Displacement;300 to 399 bhp;200 to 299 lb⋅ft;3500 to 3999 lbs;https://forza.fandom.com/wiki/Lamborghini_Espada_400_GT,,
Retro Super Cars;BMW;1980s;3.0L to 3.9L Displacement;200 to 299 bhp;200 to 299 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/BMW_M1,,
Retro Super Cars;Jaguar;1990s;3.0L to 3.9L Displacement, Twin-Turbocharged;500 to 599 bhp;400 to 499 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/Jaguar_XJ220,
Retro Super Cars;Lamborghini;1980s;5.0L to 5.9L Displacement;400 to 499 bhp;300 to 399 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/Lamborghini_Countach_LP5000_QV,,
Retro Super Cars;Jaguar;1990s;3.0L to 3.9L Displacement, Twin-Turbocharged;600 to 699 bhp;500 to 599 lb⋅ft;2000 to 2499 lbs;https://forza.fandom.com/wiki/Jaguar_XJ220S_TWR,
Retro Super Cars;Hoonigan;1990s;3.0L to 3.9L Displacement, Turbocharged;300 to 399 bhp;400 to 499 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/Hoonigan_Rauh-Welt_Begriff_Porsche_911_Turbo,
Retro Super Cars;Ferrari;1980s;2.0L to 2.9L Displacement, Twin-Turbocharged, V8;400 to 499 bhp;400 to 499 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/Ferrari_F40
Retro Super Cars;Ferrari;1990s;4.0L to 4.9L Displacement;500 to 599 bhp;300 to 399 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/Ferrari_F50,,
Retro Super Cars;Ferrari;2000s;6.0L to 6.9L Displacement;600 to 699 bhp;400 to 499 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/Ferrari_Enzo_Ferrari,,
Retro Super Cars;Lotus;1990s;3.0L to 3.9L Displacement, Twin-Turbocharged, V8;300 to 399 bhp;200 to 299 lb⋅ft;2000 to 2499 lbs;https://forza.fandom.com/wiki/Lotus_Elise_GT1
Retro Super Cars;Nissan;1990s;3.0L to 3.9L Displacement, Twin-Turbocharged, V8;500 to 599 bhp;400 to 499 lb⋅ft;2000 to 2499 lbs;https://forza.fandom.com/wiki/Nissan_R390_(GT1)
Retro Super Cars;Ford;2000s;5.0L to 5.9L Displacement, V8;500 to 599 bhp;500 to 599 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/Ford_GT_(2005),
Retro Super Cars;Porsche;1990s;3.0L to 3.9L Displacement, Twin-Turbocharged;400 to 499 bhp;300 to 399 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/Porsche_911_GT2_(1995),
Retro Super Cars;McLaren;1990s;6.0L to 6.9L Displacement;600 to 699 bhp;400 to 499 lb⋅ft;2000 to 2499 lbs;https://forza.fandom.com/wiki/McLaren_F1_GT,,
Retro Super Cars;Porsche;2000s;3.0L to 3.9L Displacement;300 to 399 bhp;200 to 299 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/Porsche_911_GT3_(2004),,
Retro Super Cars;Porsche;1980s;3.0L to 3.9L Displacement, Turbocharged;200 to 299 bhp;300 to 399 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/Porsche_911_Turbo_3.3,
Retro Super Cars;Bugatti;1990s;3.0L to 3.9L Displacement, Quad-Turbocharged;600 to 699 bhp;400 to 499 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/Bugatti_EB110_Super_Sport,
Retro Super Cars;Lamborghini;1990s;5.0L to 5.9L Displacement;500 to 599 bhp;400 to 499 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/Lamborghini_Diablo_SV,,
Retro Super Cars;Ferrari;1980s;2.0L to 2.9L Displacement, Twin-Turbocharged, V8;300 to 399 bhp;300 to 399 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/Ferrari_288_GTO
Retro Super Cars;Porsche;1990s;3.0L to 3.9L Displacement, Twin-Turbocharged;500 to 599 bhp;400 to 499 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/Porsche_911_GT1_Strassenversion,
Retro Super Cars;TVR;1990s;7.0L to 7.9L Displacement;800 to 899 bhp;600 to 699 lb⋅ft;2000 to 2499 lbs;https://forza.fandom.com/wiki/TVR_Cerbera_Speed_12,,
Modern Sports Cars;Audi;2010s;2.0L to 2.9L Displacement, Turbocharged;300 to 399 bhp;200 to 299 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/Audi_TTS_Coup%C3%A9,
Modern Sports Cars;Toyota;2020s;3.0L to 3.9L Displacement, Turbocharged;300 to 399 bhp;300 to 399 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/Toyota_GR_Supra,
Modern Sports Cars;Eagle;2010s;4.0L to 4.9L Displacement;300 to 399 bhp;300 to 399 lb⋅ft;2000 to 2499 lbs;https://forza.fandom.com/wiki/Eagle_Speedster,,
Modern Sports Cars;TVR;2010s;5.0L to 5.9L Displacement, V8;400 to 499 bhp;400 to 499 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/TVR_Griffith,
Modern Sports Cars;Lotus;2010s;3.0L to 3.9L Displacement;300 to 399 bhp;200 to 299 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/Lotus_Exige_S,,
Modern Sports Cars;Abarth;2010s;1.0L to 1.9L Displacement, Turbocharged;100 to 199 bhp;100 to 199 lb⋅ft;2000 to 2499 lbs;https://forza.fandom.com/wiki/Abarth_124_Spider,
Modern Sports Cars;Alfa;2010s;1.0L to 1.9L Displacement, Turbocharged;200 to 299 bhp;200 to 299 lb⋅ft;2000 to 2499 lbs;https://forza.fandom.com/wiki/Alfa_Romeo_4C,
Modern Sports Cars;Porsche;2010s;3.0L to 3.9L Displacement, Twin-Turbocharged;400 to 499 bhp;300 to 399 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/Porsche_911_Carrera_S,
Modern Sports Cars;Nissan;2010s;3.0L to 3.9L Displacement;300 to 399 bhp;200 to 299 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/Nissan_370Z_NISMO,,
Modern Sports Cars;Porsche;1990s;4.0L to 4.9L Displacement;400 to 499 bhp;300 to 399 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/Porsche_911_Carrera_2_by_Gunther_Werks,,
Modern Sports Cars;Alpine;2010s;1.0L to 1.9L Displacement, Turbocharged;200 to 299 bhp;200 to 299 lb⋅ft;2000 to 2499 lbs;https://forza.fandom.com/wiki/Alpine_A110,
Modern Sports Cars;Mazda;2010s;2.0L to 2.9L Displacement;100 to 199 bhp;100 to 199 lb⋅ft;2000 to 2499 lbs;https://forza.fandom.com/wiki/Mazda_MX-5_(2016),,
Modern Sports Cars;Mercedes-Benz;2010s;5.0L to 5.9L Displacement, V8;400 to 499 bhp;300 to 399 lb⋅ft;3500 to 3999 lbs;https://forza.fandom.com/wiki/Mercedes-Benz_SLK_55_AMG_(2012),
Modern Sports Cars;Mazda;2020s;2.0L to 2.9L Displacement;100 to 199 bhp;100 to 199 lb⋅ft;2000 to 2499 lbs;https://forza.fandom.com/wiki/Mazda_MX-5_Miata_RF,,
Modern Sports Cars;Porsche;2010s;2.0L to 2.9L Displacement, Turbocharged;300 to 399 bhp;300 to 399 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/Porsche_718_Cayman_GTS,
Modern Sports Cars;BMW;2010s;3.0L to 3.9L Displacement, Turbocharged;300 to 399 bhp;300 to 399 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/BMW_Z4_Roadster,
Modern Sports Cars;Nissan;2010s;3.0L to 3.9L Displacement;300 to 399 bhp;200 to 299 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/Nissan_370Z,,
Modern Sports Cars;Mazda;2010s;2.0L to 2.9L Displacement;100 to 199 bhp;100 to 199 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/Mazda_MX-5_(2013),,
Modern Sports Cars;Mazda;2010s;1.0L to 1.9L Displacement;200 to 299 bhp;100 to 199 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/Mazda_RX-8_R3,,
Modern Sports Cars;Porsche;2010s;3.0L to 3.9L Displacement;300 to 399 bhp;200 to 299 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/Porsche_Cayman_GTS,,
Modern Sports Cars;SUBARU;2020s;2.0L to 2.9L Displacement;200 to 299 bhp;100 to 199 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/SUBARU_BRZ_(2022),,
Modern Sports Cars;Nissan;2020s;3.0L to 3.9L Displacement, Twin-Turbocharged;400 to 499 bhp;300 to 399 lb⋅ft;3500 to 3999 lbs;https://forza.fandom.com/wiki/Nissan_Z_NISMO,
Modern Sports Cars;Toyota;2010s;2.0L to 2.9L Displacement;100 to 199 bhp;100 to 199 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/Toyota_86,,
Modern Sports Cars;Audi;2010s;2.0L to 2.9L Displacement, Turbocharged;300 to 399 bhp;300 to 399 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/Audi_TT_RS_Coup%C3%A9_(2010),
Modern Sports Cars;Honda;2000s;2.0L to 2.9L Displacement;200 to 299 bhp;100 to 199 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/Honda_S2000_CR,,
Modern Sports Cars;Lotus;2020s;3.0L to 3.9L Displacement;400 to 499 bhp;300 to 399 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/Lotus_Emira,,
Modern Sports Cars;Honda;2000s;2.0L to 2.9L Displacement;200 to 299 bhp;100 to 199 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/Honda_S2000,,
Modern Sports Cars;Audi;2010s;2.0L to 2.9L Displacement, Turbocharged;400 to 499 bhp;300 to 399 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/Audi_TT_RS,
Modern Sports Cars;Audi;2020s;2.0L to 2.9L Displacement, Turbocharged;300 to 399 bhp;300 to 399 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/Audi_TT_RS_Coupe_(2020),
Modern Sports Cars;Porsche;2010s;4.0L to 4.9L Displacement;500 to 599 bhp;300 to 399 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/Porsche_911_Speedster,,
Modern Sports Cars;Toyota;2020s;2.0L to 2.9L Displacement;200 to 299 bhp;100 to 199 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/Toyota_GR86,,
Modern Sports Cars;BMW;2000s;3.0L to 3.9L Displacement;300 to 399 bhp;200 to 299 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/BMW_Z4_M_Coupe,,
Modern Sports Cars;SUBARU;2010s;2.0L to 2.9L Displacement;200 to 299 bhp;100 to 199 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/SUBARU_BRZ_(2013),,
Modern Sports Cars;Nissan;2020s;3.0L to 3.9L Displacement, Twin-Turbocharged;400 to 499 bhp;300 to 399 lb⋅ft;3500 to 3999 lbs;https://forza.fandom.com/wiki/Nissan_Z,
Modern Supercars;Lamborghini;2020s;5.0L to 5.9L Displacement;600 to 699 bhp;400 to 499 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/Lamborghini_Hurac%C3%A1n_EVO,,
Modern Supercars;Ferrari;2010s;3.0L to 3.9L Displacement, Twin-Turbocharged, V8;700 to 799 bhp;500 to 599 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/Ferrari_F8_Tributo
Modern Supercars;Ferrari;2000s;4.0L to 4.9L Displacement, V8;500 to 599 bhp;300 to 399 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/Ferrari_458_Italia,
Modern Supercars;McLaren;2010s;4.0L to 4.9L Displacement, Twin-Turbocharged, V8;700 to 799 bhp;500 to 599 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/McLaren_720S_Coup%C3%A9
Modern Supercars;Porsche;2010s;3.0L to 3.9L Displacement;400 to 499 bhp;300 to 399 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/Porsche_911_Sport_Classic,,
Modern Supercars;Porsche;2010s;3.0L to 3.9L Displacement, Twin-Turbocharged;500 to 599 bhp;500 to 599 lb⋅ft;3500 to 3999 lbs;https://forza.fandom.com/wiki/Porsche_911_Turbo_S_(2014),
Modern Supercars;BMW;2010s;1.0L to 1.9L Displacement, Turbocharged;300 to 399 bhp;400 to 499 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/BMW_i8,
Modern Supercars;Chevrolet;2020s;6.0L to 6.9L Displacement, V8;600 to 699 bhp;500 to 599 lb⋅ft;3500 to 3999 lbs;https://forza.fandom.com/wiki/Chevrolet_Corvette_E-Ray,
Modern Supercars;Lamborghini;2010s;5.0L to 5.9L Displacement;500 to 599 bhp;300 to 399 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/Lamborghini_Gallardo_LP570-4_Spyder_Performante,,
Modern Supercars;Chevrolet;2020s;6.0L to 6.9L Displacement, V8;400 to 499 bhp;400 to 499 lb⋅ft;3500 to 3999 lbs;https://forza.fandom.com/wiki/Chevrolet_Corvette_Stingray_Coup%C3%A9,
Modern Supercars;Lamborghini;2000s;6.0L to 6.9L Displacement;600 to 699 bhp;400 to 499 lb⋅ft;4000 to 4499 lbs;https://forza.fandom.com/wiki/Lamborghini_Revent%C3%B3n,,
Modern Supercars;Rossion;2010s;3.0L to 3.9L Displacement, Twin-Turbocharged;400 to 499 bhp;300 to 399 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/Rossion_Q1,
Modern Supercars;McLaren;2010s;3.0L to 3.9L Displacement, Twin-Turbocharged, V8;500 to 599 bhp;400 to 499 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/McLaren_570S_Coup%C3%A9
Modern Supercars;Nissan;2010s;3.0L to 3.9L Displacement, Twin-Turbocharged;500 to 599 bhp;400 to 499 lb⋅ft;3500 to 3999 lbs;https://forza.fandom.com/wiki/Nissan_GT-R_Black_Edition_(R35),
Modern Supercars;Acura;2010s;3.0L to 3.9L Displacement, Twin-Turbocharged;500 to 599 bhp;600 to 699 lb⋅ft;3500 to 3999 lbs;https://forza.fandom.com/wiki/Acura_NSX_(2017),
Modern Supercars;Ford;2010s;3.0L to 3.9L Displacement, Twin-Turbocharged;600 to 699 bhp;500 to 599 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/Ford_GT_(2017),
Modern Supercars;Porsche;2020s;3.0L to 3.9L Displacement, Twin-Turbocharged;600 to 699 bhp;500 to 599 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/Porsche_911_Turbo_S_(2023),
Modern Supercars;Ferrari;2020s;3.0L to 3.9L Displacement, Twin-Turbocharged;800 to 899 bhp;600 to 699 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/Ferrari_296_GTB,
Modern Supercars;Ferrari;2010s;3.0L to 3.9L Displacement, Twin-Turbocharged, V8;600 to 699 bhp;500 to 599 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/Ferrari_J50
Modern Supercars;Nissan;2010s;3.0L to 3.9L Displacement, Twin-Turbocharged;500 to 599 bhp;400 to 499 lb⋅ft;3500 to 3999 lbs;https://forza.fandom.com/wiki/Nissan_GT-R_(R35),
Modern Supercars;Spania;2010s;8.0L to 8.9L Displacement, Twin-Turbocharged;900 to 999 bhp;800 to 899 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/Spania_GTA_GTA_Spano,
Modern Supercars;Saleen;2010s;2.0L to 2.9L Displacement, Turbocharged;400 to 499 bhp;600 to 699 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/Saleen_S1,
Modern Supercars;Lexus;2010s;4.0L to 4.9L Displacement;500 to 599 bhp;300 to 399 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/Lexus_LFA,,
Modern Supercars;Audi;2010s;5.0L to 5.9L Displacement;500 to 599 bhp;300 to 399 lb⋅ft;3500 to 3999 lbs;https://forza.fandom.com/wiki/Audi_R8_Coup%C3%A9_V10_plus_5.2_FSI_quattro,,
Modern Supercars;Jaguar;2010s;1.0L to 1.9L Displacement;800 to 899 bhp;700 to 799 lb⋅ft;3500 to 3999 lbs;https://forza.fandom.com/wiki/Jaguar_C-X75,,
Modern Supercars;Porsche;1990s;3.0L to 3.9L Displacement;400 to 499 bhp;300 to 399 lb⋅ft;2000 to 2499 lbs;https://forza.fandom.com/wiki/Porsche_911_reimagined_by_Singer_-_DLS,,
Modern Supercars;McLaren;2010s;3.0L to 3.9L Displacement, Twin-Turbocharged, V8;600 to 699 bhp;500 to 599 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/McLaren_650S_Spider
Modern Supercars;McLaren;2020s;3.0L to 3.9L Displacement, Twin-Turbocharged;600 to 699 bhp;500 to 599 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/McLaren_Artura,
Modern Supercars;Lamborghini;2010s;5.0L to 5.9L Displacement;500 to 599 bhp;300 to 399 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/Lamborghini_Gallardo_LP_570-4_Superleggera,,
Modern Supercars;Ascari;2010s;5.0L to 5.9L Displacement, V8;500 to 599 bhp;300 to 399 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/Ascari_KZ1R,
Modern Supercars;ATS;2010s;3.0L to 3.9L Displacement, Twin-Turbocharged, V8;700 to 799 bhp;500 to 599 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/ATS_GT
Modern Supercars;McLaren;2010s;3.0L to 3.9L Displacement, Twin-Turbocharged, V8;600 to 699 bhp;500 to 599 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/McLaren_650S_Coup%C3%A9
Modern Supercars;Noble;2010s;4.0L to 4.9L Displacement, Twin-Turbocharged, V8;600 to 699 bhp;600 to 699 lb⋅ft;2500 to 2999 lbs;https://forza.fandom.com/wiki/Noble_M600
Modern Supercars;Lamborghini;2020s;5.0L to 5.9L Displacement;600 to 699 bhp;400 to 499 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/Lamborghini_Hurac%C3%A1n_Tecnica,,
Modern Supercars;Lamborghini;2010s;5.0L to 5.9L Displacement;600 to 699 bhp;400 to 499 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/Lamborghini_Hurac%C3%A1n_LP_610-4,,
Modern Supercars;Ferrari;2010s;3.0L to 3.9L Displacement, Twin-Turbocharged, V8;600 to 699 bhp;500 to 599 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/Ferrari_488_GTB
Modern Supercars;McLaren;2010s;3.0L to 3.9L Displacement, Twin-Turbocharged, V8;500 to 599 bhp;400 to 499 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/McLaren_12C_Coup%C3%A9
Modern Supercars;Lamborghini;2010s;6.0L to 6.9L Displacement;600 to 699 bhp;400 to 499 lb⋅ft;3500 to 3999 lbs;https://forza.fandom.com/wiki/Lamborghini_Murci%C3%A9lago_LP_670-4_SV,,
Modern Supercars;Audi;2010s;5.0L to 5.9L Displacement;600 to 699 bhp;400 to 499 lb⋅ft;3000 to 3499 lbs;https://forza.fandom.com/wiki/Audi_R8_V10_plus,,
